0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,y
0.0,0.0,0.0,0.0,0.0,66.00517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.107346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.731094,0.13180345,0.0,0.0,0.0,79.23,0.0,0.0,0.0,0.0,88.804375,32.777737,84.61309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.70348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.821365,92.08712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.68033,86.21861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.98933,0.0,0.0,0.0,0.0,0.0,0.0,88.26574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.741035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.21783,0.0,0.0,98.96613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.03514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.55488,0.0,0.0,91.993065,0.0,0.0,0.0,0.0,87.29149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,26.417824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.959698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.866444,5.465079,0.0,0.0,0.0,28.300726,0.0,0.0,0.0,0.0,38.54796,1.8434727,46.697544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.30377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.166325,43.70652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.14442,31.518682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.243195,0.0,0.0,0.0,0.0,0.0,0.0,43.554707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.46498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9495974,0.0,0.0,32.83115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.14516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.124905,0.0,0.0,51.403557,0.0,0.0,0.0,0.0,39.500484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,40.89572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.929394,4.1070986,0.0,0.0,0.0,35.866108,0.0,0.0,0.0,0.0,51.553032,17.893219,42.997265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.287746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.070873,56.89799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4638,42.92039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.823345,0.0,0.0,0.0,0.0,0.0,0.0,56.6789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.436139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.283207,0.0,0.0,41.269207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.215755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.866116,0.0,0.0,63.424816,0.0,0.0,0.0,0.0,52.97667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,20.026226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.733776,5.66175,0.0,0.0,0.0,32.296562,0.0,0.0,0.0,0.0,31.015175,0.0,39.29679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.600197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.054907,33.022076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.601318,26.489956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.228848,0.0,0.0,0.0,0.0,0.0,0.0,33.841038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.545983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.880787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9708886,0.0,0.0,21.808353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.53609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.244446,0.0,0.0,42.57463,0.0,0.0,0.0,0.0,29.917133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,31.183987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.192425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.306355,0.0,0.0,0.0,0.0,41.049015,0.0,0.0,0.0,0.0,42.631226,8.113386,51.260868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.602314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.255936,45.799664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.070612,45.295662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.37991,0.0,0.0,0.0,0.0,0.0,0.0,45.753788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.266544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.954533,0.0,0.0,43.92084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.13736,0.0,0.0,55.7343,0.0,0.0,0.0,0.0,41.358227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,24.579369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.342438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25829,3.6148376,0.0,0.0,0.0,32.21216,0.0,0.0,0.0,0.0,37.111607,2.3598776,42.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.498121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.979298,40.201557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.391851,31.40506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.337933,0.0,0.0,0.0,0.0,0.0,0.0,40.995045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.586322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.931435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.509927,0.0,0.0,27.740322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.26717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.841908,0.0,0.0,48.83375,0.0,0.0,0.0,0.0,36.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,26.902615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.817608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58832,4.8465137,0.0,0.0,0.0,27.133453,0.0,0.0,0.0,0.0,34.616016,1.5337019,50.78998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.892519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.952028,42.045483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.07526,26.490088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.48998,0.0,0.0,0.0,0.0,0.0,0.0,38.07766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.688238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.749202,0.0,0.0,31.240332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.852352,0.0,0.0,45.57034,0.0,0.0,0.0,0.0,35.995857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,25.721361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.464447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.367085,3.379921,0.0,0.0,0.0,33.40378,0.0,0.0,0.0,0.0,40.840263,6.1048856,41.031826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.45326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.16216,44.861244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91921,32.68702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.31909,0.0,0.0,0.0,0.0,0.0,0.0,43.91728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.563447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.315323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.361261,0.0,0.0,35.041378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.181847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.942986,0.0,0.0,50.736145,0.0,0.0,0.0,0.0,40.873722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,26.025215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.65259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.152973,7.1440434,0.0,0.0,0.0,22.967539,0.0,0.0,0.0,0.0,34.25632,6.983584,30.990574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.429226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.277536,39.465904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.105274,25.090479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.487217,0.0,0.0,0.0,0.0,0.0,0.0,39.78339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.215001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.729393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.925873,0.0,0.0,22.027756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.837458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.241352,0.0,0.0,43.6624,0.0,0.0,0.0,0.0,35.31683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,20.232727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.359386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.387966,6.0887113,0.0,0.0,0.0,18.538515,0.0,0.0,0.0,0.0,27.748627,2.7881317,25.817974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.281921,32.60096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.624043,20.22545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.297255,0.0,0.0,0.0,0.0,0.0,0.0,32.746967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1611257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.83561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.399998,0.0,0.0,15.763959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.974466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.474903,0.0,0.0,38.154697,0.0,0.0,0.0,0.0,27.83117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
